font_size,is_bold,is_italic,alignment,indent_left,indent_first_line,space_before,space_after,line_spacing,is_all_caps,starts_with_number,word_count,position_ratio_in_doc,style_name_hash,has_image,is_table_element,label
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,5,0.0,4,0,0,4
13.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0087,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,6,0.0174,1,0,0,2
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.0261,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,82,0.0348,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,38,0.0435,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,47,0.0522,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.0609,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.0696,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.0783,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.087,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.0957,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.1043,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.113,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,31,0.1217,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,60,0.1304,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.1391,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.1478,0,0,0,4
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.1565,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.1652,1,0,0,2
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.1739,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,59,0.1826,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,53,0.1913,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,49,0.2,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,96,0.2087,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,85,0.2174,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,46,0.2261,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2348,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2435,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.2522,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.2609,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,101,0.2696,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,58,0.2783,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,32,0.287,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.2957,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.3043,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.313,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.3217,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.3304,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.3391,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.3478,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.3565,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,74,0.3652,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,88,0.3739,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.3826,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.3913,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.4,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.4087,1,0,0,2
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.4174,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,39,0.4261,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,42,0.4348,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,42,0.4435,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,48,0.4522,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,54,0.4609,0,0,0,4
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,8,0.4696,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.4783,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,42,0.487,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,86,0.4957,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,55,0.5043,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.513,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.5217,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.5304,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.5391,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.5478,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.5565,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.5652,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.5739,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,4,0.5826,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,84,0.5913,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,72,0.6,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,63,0.6087,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.6174,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,37,0.6261,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.6348,0,0,0,4
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.6435,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.6522,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.6609,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.6696,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.6783,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.687,1,0,0,2
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.6957,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.7043,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.713,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,54,0.7217,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,51,0.7304,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.7391,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.7478,5,0,0,7
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.7565,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,4,0.7652,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,40,0.7739,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,66,0.7826,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,44,0.7913,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,75,0.8,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.8087,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.8174,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,46,0.8261,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,36,0.8348,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,100,0.8435,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,89,0.8522,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.8609,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.8696,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.8783,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.887,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.8957,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,61,0.9043,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,80,0.913,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,54,0.9217,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.9304,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.9391,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,1,0.9478,1,0,0,4
10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9565,0,0,0,8
10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,12,0.9652,0,0,0,8
10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9739,0,0,0,8
10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9826,0,0,0,8
10.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.9913,0,0,0,8
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,5,0.0,4,0,0,4
13.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0066,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.0132,1,0,0,2
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.0197,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.0263,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,92,0.0329,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.0395,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,76,0.0461,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,108,0.0526,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,49,0.0592,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.0658,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,9,0.0724,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.0789,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.0855,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.0921,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,80,0.0987,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,81,0.1053,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,86,0.1118,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,89,0.1184,0,0,0,4
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,6,0.125,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.1316,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.1382,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,11,0.1447,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.1513,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.1579,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.1645,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,47,0.1711,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,35,0.1776,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,66,0.1842,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,61,0.1908,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,47,0.1974,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2039,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.2105,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.2171,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.2237,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.2303,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,10,0.2368,6,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.2434,6,0,0,9
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.25,1,0,0,2
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.2566,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.2632,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,62,0.2697,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,57,0.2763,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.2829,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2895,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.2961,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.3026,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,61,0.3092,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,89,0.3158,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,52,0.3224,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,103,0.3289,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,89,0.3355,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,90,0.3421,0,0,0,4
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.3487,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,9,0.3553,5,0,0,7
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.3618,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.3684,2,0,0,9
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,41,0.375,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,56,0.3816,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,70,0.3882,0,0,0,4
12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,65,0.3947,0,0,0,4
10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.4013,5,0,0,7
11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.4079,6,0,0,9
