source_doc,order_index,text_preview,label_suggestion,font_size,is_bold,is_italic,alignment,indent_left,indent_first_line,space_before,space_after,line_spacing,is_all_caps,starts_with_number,word_count,position_ratio_in_doc,style_name_hash,has_image,is_table_element
Copy of style_aware_01.docx,0,Behavioral Economics: A Comprehensive Study,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,5,0.0,4,0,0
Copy of style_aware_01.docx,1,L. Fontaine,Body Paragraph,13.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0087,0,0,0
Copy of style_aware_01.docx,2,Chapter 1: Data Structures and Algorithms,Chapter Heading,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,6,0.0174,1,0,0
Copy of style_aware_01.docx,3,1.1 Neural Networks,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.0261,2,0,0
Copy of style_aware_01.docx,4,Data network output process result application theory method training result int,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,82,0.0348,0,0,0
Copy of style_aware_01.docx,5,Architecture research study furthermore evaluation strategy efficiency principle,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,38,0.0435,0,0,0
Copy of style_aware_01.docx,6,Concept efficiency result structure development concept interface accuracy frame,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,47,0.0522,0,0,0
Copy of style_aware_01.docx,7,1. Value method output development.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.0609,6,0,0
Copy of style_aware_01.docx,8,2. Approach study strategy data analysis.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.0696,6,0,0
Copy of style_aware_01.docx,9,3. Architecture design module analysis.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,5,0.0783,6,0,0
Copy of style_aware_01.docx,10,4. Significant model method output significant technique.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,7,0.087,6,0,0
Copy of style_aware_01.docx,11,5. Important performance evaluation strategy implementation.,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,6,0.0957,6,0,0
Copy of style_aware_01.docx,12,6. Approach approach efficiency standard quality quality feature.,Body Paragraph,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,8,0.1043,6,0,0
Copy of style_aware_01.docx,13,1.2 Climate Systems,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.113,2,0,0
Copy of style_aware_01.docx,14,Additionally performance quality furthermore structure component model output co,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,31,0.1217,0,0,0
Copy of style_aware_01.docx,15,Additionally input value component efficiency evaluation therefore model model a,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,60,0.1304,0,0,0
Copy of style_aware_01.docx,16,Quality subsequent evaluation design interface interface framework model system ,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,78,0.1391,0,0,0
Copy of style_aware_01.docx,17,Network module quality network training furthermore component performance interf,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,64,0.1478,0,0,0
Copy of style_aware_01.docx,18,Figure 12: Illustration of Quantum Computing Basics,Caption,10.0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,7,0.1565,5,0,0
Copy of style_aware_01.docx,19,Chapter 2: Renaissance Art,Chapter Heading,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,4,0.1652,1,0,0
Copy of style_aware_01.docx,20,2.1 Renaissance Art,List,11.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1,3,0.1739,2,0,0
Copy of style_aware_01.docx,21,Design module network architecture efficiency furthermore research result accura,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,59,0.1826,0,0,0
Copy of style_aware_01.docx,22,Quality training development analysis subsequent relevant application subsequent,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,53,0.1913,0,0,0
Copy of style_aware_01.docx,23,Feature output evaluation function system study technique result. Accuracy netwo,Body Paragraph,12.0,0,0,3,0.0,0.0,0.0,0.0,1.0,0,0,49,0.2,0,0,0
